record_id	stage	reason_code	reason_notes	source	url
PMID_25333793	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25333793/
PMID_25316467	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25316467/
PMID_25312640	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25312640/
PMID_25301563	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25301563/
PMID_25292098	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25292098/
PMID_25292097	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25292097/
PMID_25292093	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25292093/
PMID_25279979	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25279979/
PMID_25257565	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25257565/
PMID_25227855	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25227855/
PMID_25215525	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25215525/
PMID_25178683	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25178683/
PMID_25169534	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25169534/
PMID_25124608	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25124608/
PMID_25124594	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25124594/
PMID_25124589	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25124589/
PMID_25124579	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25124579/
PMID_25111387	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25111387/
PMID_25088393	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25088393/
PMID_25013976	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25013976/
PMID_25010584	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/25010584/
PMID_24998569	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24998569/
PMID_24972674	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24972674/
PMID_24927941	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24927941/
PMID_24896848	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24896848/
PMID_24881489	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24881489/
PMID_24831549	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24831549/
PMID_24727360	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24727360/
PMID_24716964	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24716964/
PMID_24689544	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24689544/
PMID_24668334	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24668334/
PMID_24660768	title_abstract	SECONDARY_REVIEW	Secondary evidence (review) not charted.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24660768/
PMID_24622934	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24622934/
PMID_24615324	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24615324/
PMID_24615258	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24615258/
PMID_24601801	title_abstract	INSUFFICIENT_ABSTRACT_INFO	Abstract too short for core charting fields.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24601801/
PMID_24568517	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24568517/
PMID_24568514	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24568514/
PMID_24568508	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24568508/
PMID_24557438	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24557438/
PMID_24521934	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24521934/
PMID_24474183	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24474183/
PMID_24460322	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24460322/
PMID_24445150	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24445150/
PMID_24433684	title_abstract	SECONDARY_REVIEW	Secondary evidence (review) not charted.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24433684/
PMID_24398135	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24398135/
PMID_24377633	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24377633/
PMID_24377590	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24377590/
PMID_26393045	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/26393045/
PMID_24334478	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24334478/
PMID_24332297	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24332297/
PMID_24324979	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24324979/
PMID_24296266	title_abstract	NOT_VAGINAL_SELF_SAMPLING	Urine self-sampling or vaginal self-sampling not confirmed.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24296266/
PMID_24289628	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24289628/
PMID_24248915	title_abstract	NOT_UNDERSCREENED_FOCUS	Does not clearly target underscreened/nonattender populations.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24248915/
PMID_24217555	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24217555/
PMID_24192311	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24192311/
PMID_24175852	title_abstract	NOT_VAGINAL_SELF_SAMPLING	Urine self-sampling or vaginal self-sampling not confirmed.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24175852/
PMID_24175783	title_abstract	NOT_CERVICAL_SCREENING	Not clearly HPV self-sampling in cervical screening context.	PubMed	https://pubmed.ncbi.nlm.nih.gov/24175783/
