pmid	doi	pmcid	title	journal	year	first_author	url
22051739	10.1016/s0140-6736(11)61522-5		Self-collection of vaginal specimens for human papillomavirus testing in cervical cancer prevention (MARCH): a community-based randomised controlled trial.	Lancet (London, England)	2011	Eduardo Lazcano-Ponce	https://pubmed.ncbi.nlm.nih.gov/22051739/
22046849	10.1016/s0027-9684(15)30411-9		Cervical cancer screening among ethnically diverse black women: knowledge, attitudes, beliefs, and practices.	Journal of the National Medical Association	2011	Diane R Brown	https://pubmed.ncbi.nlm.nih.gov/22046849/
22021733	10.1136/bmjopen-2010-000030	PMC3191400	Feasibility of self-sampling and human papillomavirus testing for cervical cancer screening in First Nation women from Northwest Ontario, Canada: a pilot study.	BMJ open	2011	Ingeborg Zehbe	https://pubmed.ncbi.nlm.nih.gov/22021733/
22017806	10.1111/j.1471-0528.2011.03147.x		Self-sampling of vaginal fluid and high-risk human papillomavirus testing in women aged 50 years or older not attending Papanicolaou smear screening.	BJOG : an international journal of obstetrics and gynaecology	2012	M Lindell	https://pubmed.ncbi.nlm.nih.gov/22017806/
21990427	10.1136/sextrans-2011-050211		Acceptability and response to a postal survey using self-taken samples for HPV vaccine impact monitoring.	Sexually transmitted infections	2011	Katy Sinka	https://pubmed.ncbi.nlm.nih.gov/21990427/
21913589	10.1007/bf03404055	PMC6974068	[Human papilloma virus: knowledge, beliefs and behavior of Quebec women].	Canadian journal of public health = Revue canadienne de sante publique	2011	Marilou Kiely	https://pubmed.ncbi.nlm.nih.gov/21913589/
21879936	10.4278/ajhp.09113-arb-364		Human papillomavirus and cervical screening: misconceptions undermine adherence.	American journal of health promotion : AJHP	2011	Efharis Panagopoulou	https://pubmed.ncbi.nlm.nih.gov/21879936/
21845360	10.1007/s00292-011-1475-6	PMC4237608	[Molecular diagnosis of HPV infections].	Der Pathologe	2011	N Wentzensen	https://pubmed.ncbi.nlm.nih.gov/21845360/
21818524	10.1007/s10096-011-1358-z		Detection of human papillomavirus DNA in urine. A review of the literature.	European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology	2012	A Vorsters	https://pubmed.ncbi.nlm.nih.gov/21818524/
21813722	10.1128/jcm.01026-11	PMC3187348	Cervicovaginal self-sampling is a reliable method for determination of prevalence of human papillomavirus genotypes in women aged 20 to 30 years.	Journal of clinical microbiology	2011	Yvonne Deleré	https://pubmed.ncbi.nlm.nih.gov/21813722/
21811250	10.1038/bjc.2011.277	PMC3188941	Short-time repeat high-risk HPV testing by self-sampling for screening of cervical cancer.	British journal of cancer	2011	U Gyllensten	https://pubmed.ncbi.nlm.nih.gov/21811250/
21752985	10.1158/1055-9965.epi-11-0307		Self-sample HPV tests as an intervention for nonattendees of cervical cancer screening in Finland: a randomized trial.	Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology	2011	Anni Virtanen	https://pubmed.ncbi.nlm.nih.gov/21752985/
